,ASSETID,PERIOD,PRICE,UNITPRICE,ADTYPOLOGYID,ADOPERATIONID,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,AMENITYID,HASPARKINGSPACE,ISPARKINGSPACEINCLUDEDINPRICE,PARKINGSPACEPRICE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,CONSTRUCTIONYEAR,FLOORCLEAN,FLATLOCATIONID,CADCONSTRUCTIONYEAR,CADMAXBUILDINGFLOOR,CADDWELLINGCOUNT,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_CASTELLANA,LONGITUDE,LATITUDE,CITYNAME,ADTYPOLOGY,ADOPERATION
81721,A16378303137570005937,201812,171000,2035.71428571429,HOME,SALE,84,3,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,,1956,5,12,5.0,0,0,1,4.819779168631668,0.3650027918808463,3.034675060595593,-3.65286974564156,40.4358792258519,Madrid,HOME,SALE
82459,A4578350750212434906,201812,162000,2160.0,HOME,SALE,75,3,1,1,0,1,3,0,0,22001,0,0,1,1,0,1,0,0,0,0,0,0,,2.0,1.0,1965,6,13,6.0,0,0,1,5.228486975527388,0.4059614390151471,4.478483869596847,-3.74681892799062,40.3829409257694,Madrid,HOME,SALE
19356,A10745131537572577626,201809,197000,3283.33333333333,HOME,SALE,60,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,3.0,1.0,1934,5,11,5.0,0,1,0,0.5177967175882627,0.0466165475302337,0.9349594063136925,-3.70442682039489,40.4119638924732,Madrid,HOME,SALE
29593,A11771122811623706053,201812,292000,2433.33333333333,HOME,SALE,120,4,2,0,1,1,3,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,2007.0,5.0,1.0,2007,8,99,3.0,0,0,1,9.265180388167282,0.2149292209662941,7.377229171229482,-3.6118117004696,40.3716437730807,Madrid,HOME,SALE
63204,A10624457099904878986,201812,96000,3840.0,HOME,SALE,25,1,1,0,0,1,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,,0.0,2.0,1930,3,11,7.0,0,0,1,4.753539794427797,0.1625709537305774,0.7316014654713374,-3.6984674036153,40.4590991788569,Madrid,HOME,SALE
54942,A13311349109633277849,201812,223000,1922.41379310345,HOME,SALE,116,3,1,0,0,0,3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1965.0,0.0,1.0,1965,3,4,8.0,0,1,0,8.25820349529066,0.2196757081962579,3.700193913252819,-3.64211463849397,40.4740385329716,Madrid,HOME,SALE
41258,A12425809820322004012,201812,522000,5865.16853932584,HOME,SALE,89,2,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,6.0,1.0,1905,5,13,4.0,0,0,1,0.8030042372221184,0.1794069891977628,0.6713071387137939,-3.69968620930647,40.4230918185167,Madrid,HOME,SALE
55087,A4713777820228729858,201809,428000,4196.07843137255,HOME,SALE,102,2,2,0,1,1,3,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,2007.0,3.0,1.0,2007,7,133,3.0,0,0,1,10.184818984498005,1.556299196368982,3.2026753649179733,-3.6546010512508,40.5000764235271,Madrid,HOME,SALE
5198,A2345429407806921306,201803,421000,5329.11392405063,HOME,SALE,79,2,1,1,1,0,3,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,2010.0,2.0,1.0,2010,6,104,3.0,0,0,1,9.806808264819676,0.2613426875788559,2.7511946808737573,-3.69872676230513,40.5046017864551,Madrid,HOME,SALE
47958,A5102271850750372383,201812,269000,4890.90909090909,HOME,SALE,55,1,1,0,1,1,3,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,,0.0,1.0,1965,8,18,5.0,0,0,1,5.1772960088214655,0.4610960200166284,1.5606732060458874,-3.67164115179929,40.4561410571499,Madrid,HOME,SALE
